date,nav,shares_outstanding,total_net_assets
2026-03-23,40.607344,177400000,7203742815.54
2026-03-24,40.287007,177650000,7156986843.43
2026-03-25,40.269879,176650000,7113674109.41
2026-03-26,40.296378,176250000,7102236626.8
2026-03-27,40.019184,179700000,7191447450.43
2026-03-30,40.201942,179300000,7208208178.13
2026-03-31,40.839797,178900000,7306239679.46
2026-04-01,40.961625,181150000,7420198398.03
2026-04-02,41.624822,179950000,7490386634.55
2026-04-06,41.746537,179950000,7512289338.01
2026-04-07,41.708834,180050000,7509675530.15
2026-04-08,42.421897,180250000,7646546864.21
2026-04-09,42.73735,180200000,7701270384.5
2026-04-10,42.812367,178800000,7654851209.21
2026-04-13,43.033539,179100000,7707306802.29
2026-04-14,43.440196,179250000,7786655084.48
2026-04-15,43.417295,179250000,7782550146.21
2026-04-16,43.823881,179250000,7855430667.78
2026-04-17,44.500651,179600000,7992316987.75
2026-04-20,44.637492,179150000,7996806732.4
2026-04-21,43.752027,179150000,7838175555.07
2026-04-22,43.464627,178800000,7771475296.3
2026-04-23,43.984992,178000000,7829328612.55
2026-04-24,43.816722,178050000,7801567423.8
2026-04-27,43.456116,178500000,7756916724.82
2026-04-28,43.917381,178950000,7859015359.08
2026-04-29,43.631045,178950000,7807775539.96
2026-04-30,44.404092,173700000,7712990702.79
2026-05-01,44.302176,174000000,7708578559.84
2026-05-04,44.060531,174850000,7703983795.6
2026-05-05,44.156141,175100000,7731740254.71
